      Freq    Re(Vin),             Im(Vin),            Re(Vout),            Im(Vout),             Re(Iin),             Im(Iin),            Re(Iout),            Im(Iout),             Re(Pin),             Im(Pin),            Re(Zout),            Im(Zout),            Re(Pout),            Im(Pout),             Re(Zin),             Im(Zin),              Re(Av),              Im(Av),              Re(Ai),              Im(Ai),          
        Hz           V                    V                    V                    V                    A                    A                    A                    A                    W                    W                 Ohms                 Ohms                    W                    W                 Ohms                 Ohms                    L                    L                    L                    L          
 1.275e+05  2.417e+00,  2.398e-02,   2.404e+00, -6.807e-01,   8.174e-03, -7.588e-05,   7.608e-03, -2.154e-03,   1.975e-02,  3.794e-04,   3.377e+02, -6.230e+00,   1.975e-02,  0.000e+00,   2.957e+02,  5.679e+00,   9.917e-01, -2.914e-01,   9.331e-01, -2.549e-01,  
 1.342e+05  2.518e+00,  3.326e-01,  -1.176e-01, -2.475e+00,   7.856e-03, -1.052e-03,  -3.722e-04, -7.832e-03,   1.943e-02,  5.262e-03,   3.017e+02, -8.175e+01,   1.943e-02,  5.421e-19,   3.093e+02,  8.376e+01,  -1.735e-01, -9.601e-01,   8.466e-02, -9.856e-01,  
 1.409e+05  2.561e+00,  1.072e-02,  -2.460e+00, -4.437e-01,   7.718e-03, -3.392e-05,  -7.783e-03, -1.404e-03,   1.977e-02,  1.696e-04,   3.009e+02, -2.733e+00,   1.977e-02, -4.337e-19,   3.319e+02,  2.847e+00,  -9.610e-01, -1.692e-01,  -1.008e+00, -1.864e-01,  
 1.477e+05  2.371e+00,  3.127e-01,  -9.560e-01,  2.285e+00,   8.320e-03, -9.897e-04,  -3.025e-03,  7.231e-03,   1.942e-02,  4.948e-03,   3.399e+02, -8.628e+01,   1.942e-02,  8.674e-19,   2.766e+02,  7.049e+01,  -2.714e-01,  9.996e-01,  -4.605e-01,  8.144e-01,  
 1.544e+05  2.683e+00,  1.314e-01,   2.015e+00,  1.463e+00,   7.333e-03, -4.159e-04,   6.377e-03,  4.628e-03,   1.962e-02,  2.080e-03,   2.717e+02, -2.918e+01,   1.962e-02,  1.735e-18,   3.637e+02,  3.855e+01,   7.759e-01,  5.071e-01,   8.312e-01,  6.783e-01,  
 1.611e+05  2.302e+00,  1.806e-01,   1.845e+00, -1.666e+00,   8.539e-03, -5.715e-04,   5.838e-03, -5.271e-03,   1.955e-02,  2.857e-03,   3.668e+02, -5.307e+01,   1.955e-02,  0.000e+00,   2.670e+02,  3.902e+01,   7.401e-01, -7.817e-01,   7.218e-01, -5.691e-01,  
 1.678e+05  2.677e+00,  3.192e-01,  -1.192e+00, -2.167e+00,   7.350e-03, -1.010e-03,  -3.772e-03, -6.858e-03,   1.936e-02,  5.050e-03,   2.664e+02, -6.983e+01,   1.936e-02,  0.000e+00,   3.517e+02,  9.175e+01,  -5.341e-01, -7.457e-01,  -3.778e-01, -9.849e-01,  
 1.745e+05  2.379e+00,  3.725e-02,  -2.389e+00,  7.270e-01,   8.293e-03, -1.179e-04,  -7.559e-03,  2.301e-03,   1.973e-02,  5.894e-04,   3.480e+02, -1.012e+01,   1.973e-02,  0.000e+00,   2.868e+02,  8.568e+00,  -9.988e-01,  3.212e-01,  -9.152e-01,  2.644e-01,  
 1.812e+05  2.535e+00,  4.475e-01,   1.819e-01,  2.453e+00,   7.801e-03, -1.416e-03,   5.756e-04,  7.762e-03,   1.914e-02,  7.080e-03,   2.892e+02, -1.071e+02,   1.914e-02, -1.301e-18,   3.045e+02,  1.126e+02,   2.352e-01,  9.260e-01,  -1.034e-01,  9.762e-01,  
 1.879e+05  2.565e+00,  9.033e-03,   2.474e+00,  3.525e-01,   7.705e-03, -2.858e-05,   7.830e-03,  1.115e-03,   1.976e-02,  1.429e-04,   2.999e+02, -2.290e+00,   1.976e-02,  4.337e-19,   3.329e+02,  2.407e+00,   9.650e-01,  1.340e-01,   1.016e+00,  1.485e-01,  
 1.946e+05  2.348e+00,  4.285e-01,   8.325e-01, -2.313e+00,   8.394e-03, -1.356e-03,   2.635e-03, -7.320e-03,   1.912e-02,  6.781e-03,   3.363e+02, -1.189e+02,   1.912e-02, -8.674e-19,   2.645e+02,  9.379e+01,   1.691e-01, -1.016e+00,   4.432e-01, -8.004e-01,  
 2.014e+05  2.728e+00,  1.455e-01,  -2.090e+00, -1.344e+00,   7.190e-03, -4.605e-04,  -6.615e-03, -4.255e-03,   1.955e-02,  2.303e-03,   2.617e+02, -3.118e+01,   1.955e-02,  1.735e-18,   3.766e+02,  4.436e+01,  -7.902e-01, -4.507e-01,  -8.785e-01, -6.481e-01,  
 2.081e+05  2.243e+00,  2.723e-01,  -1.703e+00,  1.791e+00,   8.725e-03, -8.616e-04,  -5.390e-03,  5.668e-03,   1.933e-02,  4.308e-03,   3.789e+02, -8.387e+01,   1.933e-02,  1.735e-18,   2.515e+02,  5.604e+01,  -6.529e-01,  8.778e-01,  -6.754e-01,  5.830e-01,  
 2.148e+05  2.746e+00,  3.714e-01,   1.352e+00,  2.055e+00,   7.132e-03, -1.175e-03,   4.279e-03,  6.503e-03,   1.915e-02,  5.877e-03,   2.494e+02, -7.688e+01,   1.915e-02, -1.735e-18,   3.665e+02,  1.125e+02,   5.829e-01,  6.695e-01,   4.378e-01,  9.839e-01,  
