      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
 8.859e+05,  2.785e+00,  1.183e+00,  1.901e+00, -1.074e+00,  4.430e-02, -2.366e-02,  3.803e-02, -2.149e-02,  9.540e-02,  1.183e-01,  7.017e+01,  6.283e+01,  9.540e-02,  0.000e+00,  3.782e+01,  4.689e+01,  4.396e-01, -5.725e-01,  8.694e-01, -2.078e-02
 8.926e+05,  4.915e+00,  5.079e-01,  2.902e-02,  3.982e-01,  1.699e-03, -1.016e-02,  5.805e-04,  7.965e-03,  3.189e-03,  5.079e-02,  1.047e+01, -2.801e+02,  3.189e-03, -5.421e-20,  3.006e+01,  4.788e+02,  1.413e-02,  7.956e-02, -7.534e-01,  1.831e-01
 8.993e+05,  4.831e+00,  8.214e-01, -2.117e-02,  3.731e-01,  3.371e-03, -1.643e-02, -4.234e-04,  7.463e-03,  2.794e-03,  8.214e-02,  2.229e+01, -4.407e+02,  2.794e-03,  0.000e+00,  9.934e+00,  2.921e+02,  8.503e-03,  7.579e-02, -4.410e-01,  6.472e-02
 9.060e+05,  4.698e+00,  1.066e+00, -8.862e-02,  5.247e-01,  6.038e-03, -2.131e-02, -1.772e-03,  1.049e-02,  5.662e-03,  1.066e-01,  1.639e+02, -8.232e+02,  5.662e-03,  0.000e+00,  1.154e+01,  2.172e+02,  6.149e-03,  1.103e-01, -4.776e-01,  5.217e-02
 9.128e+05,  4.634e+00,  1.152e+00, -1.264e-01,  5.955e-01,  7.330e-03, -2.304e-02, -2.528e-03,  1.191e-02,  7.411e-03,  1.152e-01,  4.464e+02, -1.122e+03,  7.411e-03,  4.337e-19,  1.267e+01,  1.970e+02,  4.410e-03,  1.274e-01, -5.010e-01,  4.968e-02
 9.195e+05,  4.775e+00,  9.511e-01, -4.443e-02,  4.099e-01,  4.501e-03, -1.902e-02, -8.887e-04,  8.197e-03,  3.399e-03,  9.511e-02,  4.240e+01, -5.507e+02,  3.399e-03,  5.421e-20,  8.896e+00,  2.489e+02,  7.496e-03,  8.435e-02, -4.185e-01,  5.232e-02
 9.262e+05,  4.885e+00,  6.867e-01,  2.913e-03,  3.030e-01,  2.307e-03, -1.373e-02,  5.826e-05,  6.060e-03,  1.836e-03,  6.867e-02,  8.299e+00, -3.310e+02,  1.836e-03, -5.082e-20,  9.467e+00,  3.540e+02,  9.137e-03,  6.075e-02, -4.284e-01,  7.620e-02
 9.329e+05,  4.368e+00, -6.818e-01,  9.068e-01,  1.213e+00,  1.263e-02,  1.364e-02,  1.814e-02,  2.426e-02,  4.588e-02, -6.818e-02,  2.673e+01, -9.315e+01,  4.588e-02, -3.469e-18,  1.328e+02, -1.973e+02,  1.603e-01,  3.027e-01,  1.621e+00,  1.713e-01
 9.396e+05,  4.896e+00,  6.560e-01, -7.592e-03, -2.844e-01,  2.089e-03, -1.312e-02, -1.518e-04, -5.688e-03,  1.619e-03,  6.560e-02,  6.390e+00, -3.090e+02,  1.619e-03, -2.711e-20,  9.171e+00,  3.717e+02, -9.171e-03, -5.686e-02,  4.210e-01, -7.860e-02
 9.463e+05,  4.860e+00,  7.811e-01, -6.394e-03,  2.694e-01,  2.810e-03, -1.562e-02, -1.279e-04,  5.387e-03,  1.452e-03,  7.811e-02,  7.928e+00, -3.649e+02,  1.452e-03,  2.033e-20,  5.762e+00,  3.100e+02,  7.402e-03,  5.424e-02, -3.355e-01,  5.215e-02
 9.530e+05,  4.890e+00,  6.903e-01, -4.211e-03, -2.517e-01,  2.208e-03, -1.381e-02, -8.423e-05, -5.034e-03,  1.267e-03,  6.903e-02,  5.187e+00, -3.151e+02,  1.267e-03,  1.016e-20,  6.483e+00,  3.531e+02, -7.969e-03, -5.035e-02,  3.546e-01, -6.281e-02
 9.597e+05,  2.500e+00,  6.048e-05,  2.500e+00, -6.358e-05,  5.000e-02, -1.210e-06,  5.000e-02, -1.272e-06,  1.250e-01,  6.048e-06,  5.000e+01,  2.419e-03,  1.250e-01, -4.235e-22,  5.000e+01,  2.419e-03,  1.000e+00, -4.963e-05,  1.000e+00, -1.241e-06
 9.664e+05,  4.934e+00,  3.496e-01,  7.135e-02,  4.443e-01,  1.316e-03, -6.992e-03,  1.427e-03,  8.885e-03,  4.049e-03,  3.496e-02,  7.873e+00, -2.127e+02,  4.049e-03, -2.168e-19,  7.999e+01,  6.906e+02,  2.074e-02,  8.857e-02, -1.190e+00,  4.281e-01
 9.732e+05,  4.759e+00,  1.011e+00,  4.106e-02, -3.491e-01,  4.818e-03, -2.023e-02,  8.212e-04, -6.983e-03,  2.472e-03,  1.011e-01,  2.862e+01, -5.323e+02,  2.472e-03,  1.084e-19,  5.717e+00,  2.339e+02, -6.662e-03, -7.195e-02,  3.358e-01, -3.939e-02
 9.799e+05,  4.781e+00,  9.770e-01, -2.988e-02,  3.013e-01,  4.376e-03, -1.954e-02, -5.975e-04,  6.027e-03,  1.834e-03,  9.770e-02,  1.729e+01, -4.808e+02,  1.834e-03, -2.711e-20,  4.574e+00,  2.437e+02,  6.364e-03,  6.172e-02, -3.002e-01,  3.666e-02
 9.866e+05,  4.747e+00,  1.039e+00, -4.340e-02,  3.446e-01,  5.056e-03, -2.078e-02, -8.679e-04,  6.892e-03,  2.413e-03,  1.039e-01,  2.925e+01, -5.448e+02,  2.413e-03,  0.000e+00,  5.275e+00,  2.272e+02,  6.437e-03,  7.118e-02, -3.227e-01,  3.675e-02
 9.933e+05,  4.886e+00,  7.362e-01, -1.330e-03, -1.276e-01,  2.286e-03, -1.472e-02, -2.659e-05, -2.552e-03,  3.258e-04,  7.362e-02,  1.284e+00, -3.097e+02,  3.258e-04,  1.271e-21,  1.467e+00,  3.316e+02, -4.115e-03, -2.550e-02,  1.690e-01, -2.804e-02
 1.000e+06,  4.921e+00,  5.879e-01, -1.495e-02, -2.030e-01,  1.573e-03, -1.176e-02, -2.989e-04, -4.060e-03,  8.285e-04,  5.879e-02,  2.268e+00, -2.564e+02,  8.285e-04, -6.776e-21,  5.886e+00,  4.177e+02, -7.852e-03, -4.031e-02,  3.358e-01, -7.035e-02
